bidder_id,tender_id,company_name,legal_structure,registered_state,registered_address,bank_branch_code,conflict_links_count,scenario_type,cibil_trust_score,annual_turnover_inr,gstin,pan,cin,udyam_number,epfo_code,managing_director_name,managing_director_din,is_director_debarred,submitted_documents_count
BID-2026-0313,GEM/2026/B/65109,Prakriti Clean Transport Infrastructure,Private Limited,Haryana,"Manesar Industrial Township, Gurugram, Haryana",KKBK0001829,0,COMPLIANT_MODEL_BIDDER,,160000000.0,06AAACP8899U1Z1,AAACP8899U,U72200HA2018PTC058192,,HA/BAN/0005819/000,Abhay Singhania,05819283,False,4
BID-2026-0316,GEM/2026/B/65109,AutoTech Fleet Assemblies Pvt Ltd,Private Limited,Delhi,"Badli Industrial Estate, Delhi, Delhi",SBIN0008812,2,HARD_FAIL_DEBARRED_VENDOR,,78000000.0,07AAACA3322V1Z7,AAACA3322V,U72200DE2018PTC069182,,DE/BAN/0006918/000,Devendra Juneja,06918273,True,4
BID-2026-0319,GEM/2026/B/65109,Vahan E-Mobility Technologies Pvt Ltd,Private Limited,Telangana,"Pashamylaram Industrial Area, Hyderabad, Telangana",FDRL0004491,0,COMPLIANT_MODEL_BIDDER,,290000000.0,36AAACV7788W1Z4,AAACV7788W,U72200TE2018PTC078192,UDYAM-TS-08-0055192,TE/BAN/0007819/000,Sudhakar Rao,07819283,False,4
BID-2026-0322,GEM/2026/B/65109,ChargePoint Bharat Superchargers Ltd,Public Limited,Maharashtra,"Thane Belapur Road, Navi Mumbai, Maharashtra",UBIN0518293,0,COMPLIANT_MODEL_BIDDER,,140000000.0,27AAACC2233X1Z0,AAACC2233X,U72200MA2018PTC089182,,MA/BAN/0008918/000,Sanjay Vaze,08918274,False,4
BID-2026-0325,GEM/2026/B/65109,SpeedGrid Green Commercial EV,Private Limited,Madhya Pradesh,"Mandideep, Bhopal, Madhya Pradesh",PUNB0088192,0,DOCUMENT_MISMATCH_SUSPICIOUS,,84000000.0,23AAACS6655Y1Z8,AAACS6655Y,U72200MA2018PTC098192,UDYAM-MP-04-0077192,MA/BAN/0009819/000,Rajeev Tiwari,09819283,False,4
BID-2026-0328,GEM/2026/B/65109,Shakti Electric Drivetrains Ltd,Public Limited,Tamil Nadu,"Coimbatore Industrial Area, Coimbatore, Tamil Nadu",HDFC0002819,0,COMPLIANT_MODEL_BIDDER,,310000000.0,33AAACS4433Z1Z3,AAACS4433Z,U72200TA2018PTC018291,UDYAM-TN-03-0099182,TA/BAN/0001829/000,R. Natarajan,01829102,False,4
BID-2026-0331,GEM/2026/B/65109,EcoWheel Fleet Telematics LLP,LLP,Uttar Pradesh,"Surajpur Industrial Area, Greater Noida, Uttar Pradesh",ICIC0008819,0,DOCUMENT_MISMATCH_SUSPICIOUS,,52000000.0,09AABCE8877A1Z7,AABCE8877A,U72200UT2018PTC027192,UDYAM-UP-12-0066192,UT/BAN/0002719/000,Tarun Chhabra,02719283,False,4
BID-2026-0334,GEM/2026/B/65109,MetroVolt Commercial Vehicles,Private Limited,Delhi,"Okhla Industrial Area Phase-3, Delhi, Delhi",SBIN0004921,2,HARD_FAIL_DEBARRED_VENDOR,,69000000.0,07AAACM5544B1Z5,AAACM5544B,U72200DE2018PTC038192,,DE/BAN/0003819/000,Siddharth Malhotra,03819284,True,4
BID-2026-0337,GEM/2026/B/65109,Surya EV Powertrain Innovations,Private Limited,Karnataka,"Bommasandra Industrial Area, Bangalore, Karnataka",KKBK0004491,0,COMPLIANT_MODEL_BIDDER,,520000000.0,29AAACS1199C1Z2,AAACS1199C,U72200KA2018PTC049182,UDYAM-KR-03-0033192,KA/BAN/0004918/000,Vishwanath Prasad,04918273,False,4
BID-2026-0340,GEM/2026/B/65109,Pragati Clean Energy Infra Pvt Ltd,Private Limited,West Bengal,"Durgapur Industrial Corridor, Burdwan, West Bengal",ANDB0008819,0,COMPLIANT_MODEL_BIDDER,,115000000.0,19AAACP7766D1Z9,AAACP7766D,U72200WE2018PTC058192,,WE/BAN/0005819/000,Arindam Mukherjee,05819201,False,4
BID-2026-0343,GEM/2026/B/65109,VoltWay Electric Logistics Fleet,Private Limited,Rajasthan,"Bhiwadi Industrial Area, Alwar, Rajasthan",BKID0008819,0,DOCUMENT_MISMATCH_SUSPICIOUS,,47000000.0,08AAACV3322E1Z6,AAACV3322E,U72200RA2018PTC069182,UDYAM-RJ-02-0077192,RA/BAN/0006918/000,Praveen Yadav,06918283,False,4
